id,name,l10n_co_document_code,country_id:id,is_vat,dv_calculated,by_default,sequence
l10n_latam_base.nit,NIT,31,base.co,TRUE,FALSE,TRUE,1
l10n_latam_base.national_citizen_id,Cédula de ciudadanía,13,base.co,FALSE,FALSE,FALSE,2
l10n_latam_base.civil_registration,Registro Civil,11,base.co,FALSE,FALSE,FALSE,3
l10n_latam_base.id_card,Tarjeta de Identidad,12,base.co,FALSE,FALSE,FALSE,4
l10n_latam_base.foreign_colombian_card,Tarjeta de extranjería,21,base.co,FALSE,FALSE,FALSE,5
l10n_latam_base.foreign_resident_card,Cédula de extranjería,22,base.co,FALSE,FALSE,FALSE,6
l10n_latam_base.it_pass,Passport,41,base.co,FALSE,FALSE,FALSE,7
l10n_latam_base.residence_document,Salvoconducto de Permanencia,42,base.co,FALSE,FALSE,FALSE,8
l10n_latam_base.it_fid,Cédula Extranjera,,base.co,FALSE,FALSE,FALSE,9
l10n_latam_base.external_id,Nit de otro país,44,base.co,FALSE,FALSE,FALSE,10
l10n_latam_base.niup_id,NIUP,,base.co,FALSE,FALSE,FALSE,11
l10n_latam_base.diplomatic_card,INACTIVO - Carné Diplomatico,46,base.co,FALSE,FALSE,FALSE,12
l10n_latam_base.id_document,INACTIVO - Cédula,,base.co,FALSE,FALSE,FALSE,13
l10n_latam_base.it_vat,VAT,,base.co,FALSE,FALSE,FALSE,80
